,time,steps,average_score
0,352.0,10000.0,1.21
1,714.0,20000.0,0.11
2,1079.0,30000.0,0.81
3,1445.0,40000.0,1.09
4,1813.0,50000.0,0.2
5,2193.0,60000.0,0.53
6,2583.0,70000.0,0.85
7,2983.0,80000.0,1.24
8,3380.0,90000.0,0.67
9,3778.0,100000.0,0.17
10,4175.0,110000.0,0.7
11,4578.0,120000.0,1.02
12,4984.0,130000.0,0.77
13,5385.0,140000.0,1.7
14,5789.0,150000.0,1.83
15,6194.0,160000.0,1.29
16,6601.0,170000.0,2.44
17,7011.0,180000.0,1.35
18,7424.0,190000.0,1.92
19,7838.0,200000.0,3.83
20,8252.0,210000.0,5.35
21,8665.0,220000.0,5.98
22,9081.0,230000.0,7.2
23,9499.0,240000.0,9.08
24,9918.0,250000.0,8.74
25,10340.0,260000.0,7.86
26,10761.0,270000.0,10.03
27,11183.0,280000.0,13.22
28,11607.0,290000.0,8.87
29,12034.0,300000.0,15.28
30,12462.0,310000.0,13.01
31,12893.0,320000.0,14.25
32,13322.0,330000.0,14.5
33,13753.0,340000.0,19.4
34,14185.0,350000.0,16.2
35,14620.0,360000.0,21.6
36,15056.0,370000.0,21.17
37,15492.0,380000.0,16.58
38,15929.0,390000.0,17.64
39,16368.0,400000.0,23.88
40,16809.0,410000.0,20.55
41,17253.0,420000.0,28.47
42,17697.0,430000.0,22.88
43,18143.0,440000.0,26.5
44,18594.0,450000.0,31.58
45,19046.0,460000.0,34.01
46,19500.0,470000.0,33.78
47,19958.0,480000.0,37.58
48,20027.0,480000.0,32.5
