,time,score
0,82.0,36.75
1,81.0,39.55
2,81.0,37.83
3,81.0,39.54
4,80.0,35.9
5,82.0,39.56
6,82.0,38.15
7,80.0,38.35
8,80.0,39.65
9,80.0,39.09
10,80.0,19.36
11,80.0,34.35
12,80.0,37.21
13,80.0,32.73
14,80.0,39.53
15,80.0,39.32
16,80.0,24.67
17,80.0,35.31
18,80.0,38.75
19,80.0,37.53
20,80.0,38.53
21,80.0,36.02
22,80.0,37.81
23,81.0,23.11
24,80.0,38.88
25,80.0,39.35
26,80.0,38.76
27,80.0,39.42
28,80.0,39.34
29,80.0,34.63
30,80.0,38.75
31,80.0,39.42
32,80.0,27.88
33,80.0,39.66
34,80.0,38.92
35,80.0,39.49
36,80.0,25.01
37,80.0,36.09
38,80.0,36.54
39,80.0,39.45
40,80.0,38.83
41,80.0,36.19
42,80.0,39.11
43,80.0,36.63
44,80.0,39.2
45,80.0,17.1
46,80.0,39.4
47,80.0,38.21
48,80.0,36.99
49,80.0,28.83
50,80.0,36.55
51,80.0,39.31
52,80.0,36.53
53,80.0,38.38
54,80.0,38.66
55,80.0,39.34
56,80.0,36.57
57,80.0,36.62
58,80.0,33.23
59,80.0,37.49
60,80.0,38.37
61,80.0,36.4
62,80.0,34.67
63,80.0,37.35
64,80.0,39.07
65,80.0,25.29
66,80.0,30.23
67,80.0,38.62
68,80.0,39.43
69,80.0,39.1
70,80.0,36.87
71,80.0,39.4
72,80.0,38.88
73,80.0,39.62
74,80.0,31.89
75,80.0,38.64
76,80.0,39.39
77,80.0,38.43
78,80.0,35.86
79,80.0,37.67
80,80.0,36.89
81,80.0,34.38
82,80.0,38.1
83,80.0,39.39
84,80.0,38.2
85,80.0,37.84
86,80.0,38.69
87,80.0,38.44
88,80.0,39.69
89,80.0,36.29
90,80.0,30.72
91,80.0,36.57
92,80.0,35.94
93,80.0,32.76
94,80.0,37.85
95,80.0,21.74
96,80.0,33.55
97,80.0,37.96
98,80.0,31.36
99,80.0,39.44
